citizen_id,name,gender,dob,educational_qualification,household_id
49,Dinnie Wermerling,Female,9/26/2012,postgraduate,01JJGRD99J9VH2YAVB02SPW3P9
50,Lizabeth Weaben,Female,8/23/2010,primary,01JJGRD99NNCAKDX9P57CDDBPC
51,Drusilla Puzey,Female,11/15/1998,10th,01JJGRD9A39GJPGTQ280CXRDS8
52,Tyler Shinefield,Male,8/1/2001,10th,01JJGRD99Z214MAQ4H7C1Y7RVG
53,Calida Woolens,Female,5/4/2014,graduate,01JJGRD9AS9KG5PSWFXNRFK0N5
54,Allie Paskerful,Female,1/8/2021,primary,01JJGRD9A60QJA4TG2WX0PT7BM
55,Betti Hunnywell,Female,7/21/1990,graduate,01JJGRD9AH06XSTNZ2N0BPP5JC
56,Dayna Youle,Female,9/3/1994,12th,01JJGRD9ANF87F81NXRYAEZQM3
57,Barbabas O'Moylane,Male,5/30/2012,illiterate,01JJGRD99XAMASRZ9QP5A85E0G
58,Jacqueline Everal,Female,8/26/2016,10th,01JJGRD99QK3XV5WJY0WTV4865
59,Everard Dedrick,Male,6/25/1997,graduate,01JJGRD99YM9ABX5JB4BWB3YY9
60,Padraig Andrus,Male,7/29/1990,10th,01JJGRD9AF4795PHFYGRNKFNBM
61,Layton Gerin,Male,2/14/2021,secondary,01JJGRD99NJQJSFRXV4960406T
62,Dal O'Connolly,Male,4/25/2000,10th,01JJGRD9A39GJPGTQ280CXRDS8
63,Hew Maccraw,Male,10/19/2000,primary,01JJGRD9A08B1YNCV8TYHNAH0S
64,Ivory MacSweeney,Female,1/7/2007,secondary,01JJGRD9ASG9S69HETFJ0TJN0T
65,Ciro Kornyshev,Male,2/4/1994,10th,01JJGRD9A4NDP3GHD1MCQEQCRS
66,Tybalt Beevors,Male,7/22/2006,illiterate,01JJGRD99M1SH3P1ATQW5AYZ5B
67,Imogen Crank,Female,6/20/2007,secondary,01JJGRD9A4NDP3GHD1MCQEQCRS
68,Trace Loyns,Genderqueer,11/8/1994,graduate,01JJGRD9ADA7SCS1837PATF6H0
69,Laurianne Drage,Female,6/12/1994,10th,01JJGRD99V8KSY4RZ3YB4RN8QW
70,Beryle Headings,Female,3/1/1998,postgraduate,01JJGRD99YENWW8GMTDM56PQ35
71,Shauna Danzig,Female,8/30/1992,secondary,01JJGRD9A5KQVE8TK46WKAK97H
72,Nariko Wichard,Female,2/26/2012,postgraduate,01JJGRD9ABF4K2VCZ0WEPW20YD
73,Marlowe Pugsley,Male,12/28/2021,illiterate,01JJGRD99SHAADZCAS93S4SAA0
74,Amalea Ryhorovich,Female,12/28/2009,primary,01JJGRD9A14QA0WS2S5WRBAH9R
75,Maximo Checo,Male,2/10/1996,12th,01JJGRD9AM6CNGAAYRZ36BVM0P
76,Robert Connew,Male,7/10/1997,secondary,01JJGRD9A4NDP3GHD1MCQEQCRS
77,Niels Zupa,Male,1/1/2018,graduate,01JJGRD9AE11Z2D70B4YTXBDZF
78,Darelle Tambling,Female,4/16/2004,12th,01JJGRD9AF4795PHFYGRNKFNBM
79,Cazzie Fidal,Male,3/26/1997,postgraduate,01JJGRD9AH63C7JSZSNEAD757W
80,Charis Bacon,Polygender,4/29/2024,illiterate,01JJGRD9AF4795PHFYGRNKFNBM
81,Jesselyn Sterricker,Female,9/10/2020,postgraduate,01JJGRD9ACGW7SE30QQ3BPBTGT
82,Jerrome Chrestien,Male,4/2/2000,postgraduate,01JJGRD9A1HWP9A2QS19DZWH81
83,Marcela Perulli,Female,6/4/2024,secondary,01JJGRD9ANY2VQB2WDEGDFB0X9
84,Charo Yeowell,Female,11/25/2020,graduate,01JJGRD9AV5F2F2A7TV5Y7XYJD
85,Gaile Brunsdon,Male,11/13/2007,primary,01JJGRD9AP81SE1T2NPQFD72PT
86,Yancey De Bruyn,Male,10/1/2013,primary,01JJGRD9A14QA0WS2S5WRBAH9R
87,Hobey Wane,Male,12/1/1997,10th,01JJGRD9AMSTMMG37DHZE28JDS
88,Hope Walewicz,Female,5/3/2006,postgraduate,01JJGRD99XB1HP2RJMKQHHNGHN
89,Candida Sharman,Female,6/21/2024,graduate,01JJGRD99XAMASRZ9QP5A85E0G
90,Truman Heavyside,Male,9/6/2019,illiterate,01JJGRD9A8X2V6KE4ZSC0P6556
91,Roderic Brevitt,Male,2/6/1997,graduate,01JJGRD9AJNFAQ38Y76GETD57S
92,Morgun Bucham,Male,10/30/1993,10th,01JJGRD9A41DA3R8B49SNDXZQF
93,Tate Ovenell,Female,12/8/2016,secondary,01JJGRD99KKPPKNSE75W6KCPDS
94,Cy Jacobs,Male,5/20/2015,postgraduate,01JJGRD9ANF87F81NXRYAEZQM3
95,Elbertina Mazdon,Female,2/11/1991,secondary,01JJGRD9ASPAHPMSKV8TQNZQWQ
96,Veda Elloway,Female,7/18/1998,10th,01JJGRD9ANY2VQB2WDEGDFB0X9
97,Karolina Gready,Female,1/4/1992,graduate,01JJGRD9AQKV4S4QH34RB2NHMN
98,Annelise Harring,Bigender,1/26/1997,postgraduate,01JJGRD9A1HWP9A2QS19DZWH81
99,Zacharie Haugeh,Male,12/30/2013,graduate,01JJGRD9AS9KG5PSWFXNRFK0N5
100,Boyd Bussey,Male,6/12/2016,secondary,01JJGRD9ANY2VQB2WDEGDFB0X9
